Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
57,CERTA CONS SRL,STR POARTA RAIULUI NR 22,TAU BISTRA,ALBA,PENSIUNE,2
58,CABANA COTUL ARIESULUI,STR PRINCIPALA FN SAT NECSESTI,VADU MOTILOR,ALBA,CABANA,3
59,PENSIUNEA VIDRA DE SUS,STR LUNCA BISERICII NR 31,VIDRA,ALBA,PENSIUNE,3
60,PENSIUNEA CRAIUL,STR PRINCIPALA FN SAT LUNCA,VIDRA,ALBA,PENSIUNE,3
61,ADA INTERNATIONAL,B-DUL REVOLUTIEI NR 24,ARAD,ARAD,AGENTIE DE TURISM,0
62,CHRISTIAN TOUR,B-DUL REVOLUTIEI NR 31,ARAD,ARAD,AGENTIE DE TURISM,0
63,TUI TRAVEL,B-DUL REVOLUTIEI NR 31,ARAD,ARAD,AGENTIE DE TURISM,0
64,EXIMTUR,B-DUL REVOLUTIEI NR 64,ARAD,ARAD,AGENTIE DE TURISM,0
65,BJR VACANTE,B-DUL REVOLUTIEI NR 66B,ARAD,ARAD,AGENTIE DE TURISM,0
66,DISCOVER TURISM,STR CLOSCA NR 2,ARAD,ARAD,AGENTIE DE TURISM,0
67,MIRIFIC GIL,STR CLOSCA NR 2,ARAD,ARAD,AGENTIE DE TURISM,0
68,EMMA VOYAGE,STR COCORILOR NR 44,ARAD,ARAD,AGENTIE DE TURISM,0
69,FILADELFIA ARAD,STR CRISAN NR 13,ARAD,ARAD,AGENTIE DE TURISM,0
70,GLOBETROTTER,STR GEORGE COSBUC NR 8,ARAD,ARAD,AGENTIE DE TURISM,0
71,VIRGO TRAVEL AGENTIE DE TURISM,STR GHE BARITIU NR 1-3 AP 12,ARAD,ARAD,AGENTIE DE TURISM,0
72,EURO TRAVEL,STR REVOLUTIEI NR 104,ARAD,ARAD,AGENTIE DE TURISM,0
73,PARALELA 45 TURISM,STR REVOLUTIEI NR 93,ARAD,ARAD,AGENTIE DE TURISM,0
74,HOTEL ARDEALUL,BD REVOLUTIEI NR 98,ARAD,ARAD,HOTEL,3
75,HOTEL PHEONIX,CALEA AUREL VLAICU NR 267,ARAD,ARAD,HOTEL,3
76,HOTEL MAXIM,CALEA RADNEI NR 122,ARAD,ARAD,HOTEL,3
78,HOTEL QUEEN,STR CONSTANTIN BRANCUSI NR 20-22,ARAD,ARAD,HOTEL,3
79,HOTEL PARC,STR GENERAL DRAGALINA NR 25,ARAD,ARAD,HOTEL,3
80,HOTEL CRISANA,STR PETRU RARES NR 24,ARAD,ARAD,HOTEL,3
81,PENSIUNEA VIRGINIA,STR DIGULUI NR 2A,ARAD,ARAD,PENSIUNE,2
82,PENSIUNEA INTER-M,STR PETRU RARES NR 45,ARAD,ARAD,PENSIUNE,2
83,PENSIUNEA BELLA,STR RADNEI NR 201,ARAD,ARAD,PENSIUNE,2
84,PENSIUNEA WEST 2,STR ZSIGMOND MORICZ NR 25,ARAD,ARAD,PENSIUNE,2
85,POPAS TURISTIC PATRIMARA PENSIUNE,STR PRINCIPALA NR 2/B,CAPRIOARA,ARAD,PENSIUNE,3
86,HOTEL SANTANA,STR MONEASA NR 74,MONEASA,ARAD,HOTEL,3
87,HOTEL MONEASA,STR PRINCIPALA FN,MONEASA,ARAD,HOTEL,2
88,HOTEL PARC,STR PRINCIPALA FN,MONEASA,ARAD,PENSIUNE,3
89,VILA CLUB CASTEL,STR PRINCIPALA FN,MONEASA,ARAD,VILA,4
90,VILA TANAMERA,STR PRINCIPALA FN,MONEASA,ARAD,VILA,3
91,PENSIUNEA OLYMPIA,CALEA ARADULUI NR 5,NADAB,ARAD,PENSIUNE,2
92,PENSIUNEA DRACULA,STR PRINCIPALA 190 SAT CAPATANEN,AREF,ARGES,PENSIUNE,3
93,HOTEL PISCU NEGRU,STR PRINCIPALA FN,AREFU,ARGES,HOTEL,3
94,HOTEL SIESTA,STR PRINCIPALA FN,AREFU,ARGES,HOTEL,2
95,POSADA VIDRARU,TRANSFAGARASAN DN7C,AREFU,ARGES,HOTEL,4
96,HOTEL STAR,STR LUNCA NR 110,BASCOV,ARGES,HOTEL,3
97,VALEA URSULUI,CALEA BUCURESTI NR 34 BL U 5,BASCOV,ARGES,MOTEL,2
98,PENSIUNEA VALEA URSULUI,STR PRINCIPALA FN,BASCOV,ARGES,PENSIUNE,3
99,PENSIUNEA CIPRIAN,STR PRINCIPALA NR 73F,BRADETU,ARGES,PENSIUNE,4
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
100,PENSIUNEA DIANA ISABELA,STR PRINCIPALA NR 254,BRADULET,ARGES,PENSIUNE,2
101,PENSIUNEA VALEA URSULUI,STR P-PALA FN SAT VALEA URSULUI,BUCOV,ARGES,PENSIUNE,3
102,ATLANTIC HOUSING,STR PRINCIPALA NR 241,BUGHEA DE JOS,ARGES,CAMERE DE INCHIRIAT,3
103,ECO TRAVEL,STR NEGRU VODA NR 121 BL A9,CAMPULUNG,ARGES,AGENTIE DE TURISM,0
104,INFINITE TRAVEL,STR NEGRU VODA NR 164,CAMPULUNG,ARGES,AGENTIE DE TURISM,0
105,HOTEL MUSCELUL,STR NEGRU VODA NR 164,CAMPULUNG,ARGES,CABANA,3
106,PENSIUNEA CASA CRISTINA,STR ALEXANDRU CEL BUN NR 13,CAMPULUNG,ARGES,PENSIUNE,4
107,PENSIUNEA ALINA,STR MARAMURES NR 2 B,CAMPULUNG,ARGES,PENSIUNE,3
108,PENSIUNEA ANDREEA,STR PRINCIPALA NR 5,CAPATANENI,ARGES,PENSIUNE,2
109,PISCUL SOARELUI,STR PRINCIPALA NR 95,CAPU PISCULUI (GODENI),ARGES,PENSIUNE,2
110,ALEX MORARU TURISM SRL-PENSIUNEA,STR. DN 73-PODU DAMBOVITEI,Com. DAMBOVICIOARA,ARGES,PENSIUNE,2
111,PENSIUNEA NICKY,DN 7C NR 123 SAT OESTII UNGURENI,CORBENI,ARGES,PENSIUNE,3
112,PENSIUNEA COLT DE MUNTE,STR PRINCIPALA NR 29,CORBENI,ARGES,PENSIUNE,2
113,PENSIUNEA MERIDIAN,STR PRINCIPALA SAT OESTI,CORBENI,ARGES,PENSIUNE,2
114,POSADA,B-DUL BASARABILOR NR 27 29,CURTEA DE ARGES,ARGES,AGENTIE DE TURISM,0
115,DUX TRAVEL,STR MIHAI BRAVU BL 15,CURTEA DE ARGES,ARGES,AGENTIE DE TURISM,0
116,HOTEL POSADA,B-DUL BASARABILOR NR 27 29,CURTEA DE ARGES,ARGES,HOTEL,2
117,PENSIUNEA IOANA,STR NEGRU VODA NR 102,CURTEA DE ARGES,ARGES,PENSIUNE,3
118,CABANA BRUSTULET,CALEA BUCURESTI NR 34 BL U 5,DAMBOVICIOARA,ARGES,CABANA,3
119,CASA PETRUTA,STR VALEA CHEII NR 68,DAMBOVICIOARA,ARGES,CAMERE DE INCHIRIAT,3
120,PENSIUNEA CASA EUROPAN,PODU DAMBOVITEI,DAMBOVICIOARA,ARGES,PENSIUNE,4
121,PENSIUNEA NEDEEA,STR BRASOVULUI FN,DAMBOVICIOARA,ARGES,PENSIUNE,3
