Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
698,CASA ANCA,STR CANIONULUI NR 15,SACELE,BRASOV,PENSIUNE,3
699,CASA OLANDEZA,STR CANIONULUI NR 17A,SACELE,BRASOV,PENSIUNE,3
700,PENSIUNEA 3 STEJARI,STR COL KISS SANDOR NR 102,SACELE,BRASOV,PENSIUNE,4
701,PENSIUNEA EZIO HOUSE,STR COLONEL KISS SANDOR,SACELE,BRASOV,PENSIUNE,4
702,PENSIUNEA KATALIN,STR GEORGE MOROIANU NR 130,SACELE,BRASOV,PENSIUNE,3
703,SCOBICI TEREZA PF-PENSIUNEA URSU,"STR. BUNLOC,NR.155",SACELE,BRASOV,PENSIUNE,3
704,FUNIVIA SRL-PENSIUNE,"STR. BUNLOC,NR.70 G",SACELE,BRASOV,PENSIUNE,3
705,CIBIN SRL-PENSIUNEA DEEA,"STR. VALEA  GARCINULUI,NR.100",SACELE,BRASOV,PENSIUNE,3
706,SZORNY-PENSIUNEA TURISTICA MARGA,"STR.BOLNOC,NR.12",SACELE,BRASOV,PENSIUNE,3
707,PENSIUNEA BELL MONTE,COMPLEX TURISTIC SAMBATA FN,SAMBATA DE SUS,BRASOV,PENSIUNE,3
708,PENSIUNEA POIANA IZVORULUI,STR PRINCIPALA FN ZONA TURISTICA,SAMBATA DE SUS,BRASOV,PENSIUNE,3
709,PENSIUNEA BRANDEBERG,STR IANCU GONTEA NR 189 COMUNA B,SIMON,BRASOV,PENSIUNE,3
710,PENSIUNEA TURISTICA CASA MOGA,STR PRINCIPALA NR 36,SINCA VECHE,BRASOV,PENSIUNE,2
711,PENSIUNEA LUCA,STR PRINCIPALA NR 160,SIRNEA,BRASOV,PENSIUNE,3
712,VILA GENTIANA,STR CAVALER IOAN DE PUSCARIU NR,SOHODOL,BRASOV,VILA,2
713,HOTEL PERLA CIUCASULUI,STR TARLUNGULUI NR 110A,TARLUNGENI,BRASOV,HOTEL,2
714,GRAND HOTEL PERLA CIUCASULUI,STR TARLUNGULUI NR 110A,TARLUNGENI,BRASOV,PENSIUNE,3
715,PENSIUNEA MARIANA,STR TUDOR VLADIMIRESCU NR 736,TELIU,BRASOV,PENSIUNE,3
716,HOTEL HART,SOS NATIONALA NR 5,TIMISU DE SUS,BRASOV,HOTEL,4
717,HOTEL TIMIS,SOSEAUA NATIONALA NR 5,TIMISUL DE SUS,BRASOV,HOTEL,3
718,PENSIUNEA LA COPILU,DN 1,TIMISUL DE SUS,BRASOV,PENSIUNE,3
719,PENSIUNEA CASA TIMIS,STR DN 1 FN,TIMISUL DE SUS,BRASOV,PENSIUNE,3
720,PENSIUNEA CRISTAL,"STR BRANULUI NR 125, ZARNESTI",TOHANU NOU,BRASOV,PENSIUNE,4
721,HOTEL LA DOLCE VITA,STR BRANULUI NR 78,TOHANUL NOU,BRASOV,HOTEL,3
722,PENSIUNEA ALINA,STR PRINCIPALA NR 484,VAMA BUZAULUI,BRASOV,PENSIUNE,3
723,PENSIUNEA MIRUNA,STR PRINCIPALA FN COMPLEX SAMBAT,VICTORIA,BRASOV,PENSIUNE,3
724,CABANA DIANTHUS,ZONA PLAIUL FOII FN,ZARNESTI,BRASOV,CABANA,2
725,HOTEL WOLF,STR BRANULUI NR 36 BIS,ZARNESTI,BRASOV,HOTEL,3
726,HOTEL MARIDOR,STR BRANULUI NR 98 SAT TOHANU NO,ZARNESTI,BRASOV,HOTEL,4
727,PENSIUNEA RIFFELT,STR BRANULUI FN,ZARNESTI,BRASOV,PENSIUNE,2
728,PENSIUNEA MARINA,STR BRANULUI NR 55,ZARNESTI,BRASOV,PENSIUNE,3
729,PENSIUNEA MIR,STR BRANULUI NR 55,ZARNESTI,BRASOV,PENSIUNE,3
730,PENSIUNEA CRISTINA,STR MITROPOLIT ION METIANU NR 60,ZARNESTI,BRASOV,PENSIUNE,2
731,PENSIUNEA PIATRA CRAIULUI,STR SUB BORTILA FN,ZARNESTI,BRASOV,PENSIUNE,3
732,VILA HORA CU BRAZI,"STR. RAULUI,NR 34",ZARNESTI,BRASOV,VILA,3
733,CABANA VAMII,STR ZIZINULUI NR 52,ZIZIN,BRASOV,CABANA,3
734,PENSIUNEA VALEA CETATII,STR VALEA CETATII NR 19,RASNOV,BUCURESTI,PENSIUNE,3
735,BTOUR,ALEEA PUSKIN NR 30,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
736,ASTORIA TRAVEL,BD DINICU GOLESCU NR 27,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
737,ROUA HOLIDAY TOUR,BD NICOLAE BALCESCU NR 16,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
738,PAN EUROPEAN TRAVEL,BD NICOLAE BALCESCU NR 35A,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
739,ZB TRAVEL,BD NICOLAE TITULESCU NR 1 BL 7A SC 4,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
740,DREAM VOYAGE,B-DUL GHEORGHE MAGHERU NR 28-30,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
741,GETICA TURISM,B-DUL IANCU DE HUNEDOARA NR 29 B,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
742,DEEA TRAVEL INTERNATIONAL SRL,B-DUL ION MIHALACHE NR 66,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
743,INVITATION AGENTIE DE TURISM,B-DUL LASCAR CATARGIU NR 42 ET 2,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
744,PETER EXPRESS,B-DUL MAGHERU NR 32-36 SC A AP 1,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
745,MARSHAL TURISM,B-DUL MAGHERU NR 43,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
746,PARALELA 45 TURISM,B-DUL MARASESTI NR 65-67,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
747,NOVA TRAVEL,B-DUL NICOLAE BALCESCU NR 21,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
748,TUI TRAVEL,B-DUL NICOLAE BALCESCU NR 21,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
749,CHRISTIAN TOUR,B-DUL NICOLAE BALCESCU NR 25,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
750,TRAVEL SHOP,B-DUL NICOLAE BALCESCU NR 33 BL,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
751,OLTEXTUR,B-DUL NICOLAE BALCESCU NR 35,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
752,UNIVERSAL TRAVEL ADVISORS,B-DUL POLIGRAFIEI NR 52-54,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
753,TERRA SPLENDIDA,CALEA DOROBANTILOR NR 132 SC 2 E,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
754,PARALELA 45 DOROBANTI,CALEA DOROBANTILOR NR 246 DEMISO,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
755,CHRISTIAN TOUR,CALEA FLOREASCA NR 246B,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
756,MAGNUM TRAVEL,CALEA FLOREASCA NR 69,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
757,FILADELFIA BUCURESTI 1,CALEA GRIVITEI NR 142,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
758,DIRECT BOOKING,CALEA GRIVITEI NR 180,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
759,TERRA TOURISM,CALEA MOSILOR NR 241,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
760,PERFECT TOUR,CALEA VICTORIEI NR 100,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
761,B.T.T.,CALEA VICTORIEI NR 155 BL D1 SC,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
762,WELCOME TOURISM,CALEA VICTORIEI NR 216,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
763,CND TURISM,INTRAREA MONEASA NR 1 ET 1 AP 4,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
764,LEVEL TOUR,MALL BANEASA,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
765,GALERIA DE VACANTE,PIATA AMZEI NR 10-22,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
766,COCKTAIL HOLIDAYS,PIATA AMZEI NR 7-9,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
767,BENEFIT TOUR,PIATA CHARLES DE GAULLE NR 15 BI,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
768,CHRISTIAN TOUR,PIATA CHARLES DE GAULLE NR 15 BI,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
769,CHRISTIAN TOUR,PIATA GARII DE NORD NR 1-3,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
770,HELLO HOLIDAYS,PIATA ROMANA NR 9 CAMERA 3 SC E,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
771,CHRISTIAN TOUR,SOS BUCURESTI PLOIESTI NR 44A,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
772,TUI TRAVEL,SOS BUCURESTI-PLOIESTI 42D BANEA,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
773,PROMOTURISM,SOS GH IONESCU SISESTI NR 225-24,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
774,FAMILY TRAVEL,SOS PIPERA NR 9 11 BL IIE PARTER,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
775,PAN OLIMPIC TOURS,STR ACADEMIEI NR 17,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
776,ALTOURS,STR BREZOIANU NR 36 BL 17 SC 1,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
777,EUROLINES,STR BUZESTI NR 44,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
778,AMA TOURS & TRAVEL,STR BUZESTI NR 59 BL A 5 ET 1 AP,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
779,ARIEL HOLIDAY,STR CADEREA BASTILIEI NR 56-58 P,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
780,Q TRAVEL CONFORT,STR CADEREA BASTILIEI NR 66 BIROU 1 PARTER,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
781,OPEN TOUR INTERNATIONAL,STR CAMPINITA NR 14,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
782,EURO VACANTA TRAVEL,STR CISNADIE NR 7,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
783,TWIN TRAVEL,STR COSTACHE MARINESCU NR 39 BL,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
784,TRAVEL TAILOR,STR EMANOIL PORUMBARU NR 43A ET,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
785,ANCHOR TRAVEL,STR EMILE ZOLA NR 3 AP 1,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
786,INVITATION AGENTIE DE TURISM,STR FRUMOASA NR 56,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
787,HASHAS TRAVEL,STR GEN EREMIA GRIGORESCU NR 19,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
788,TUI TRAVEL,STR GEORGE ENESCU NR 36-42 PIATA,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
789,PHOENIX AGENTIE DE TURISM,STR GEORGE ENESCU NR 45,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
790,OPTIMAL TRAVEL SOLUTIONS,STR GHEORGHE POLIZU NR 4,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
791,AGENTIA DE TURISM MINERVA,STR GRIGORE COBALCESCU NR 12,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
792,HOLIDAY OFFICE,STR HATMANU ARBORE NR 8-10,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
793,OLTEXTUR SRL BUCURESTI,STR INDEPENDENTEI BL T 3 PARTER,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
794,AVIANCE,STR INTR STIRBEI VODA NR 4 CAMER,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
795,MAGIC HOLIDAYS,STR INTRAREA STIRBEI VODA NR 4,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
796,PARALELA 45 ACADEMIEI,STR ION CAMPINEANU NR 13,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
797,ADVENTURE TRAVEL,STR ISLAZ NR 6A,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
798,CARPATIA DACIA NEMURITOARE,STR IZBICENI NR 149,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
799,BOUTIQUE TRAVEL,STR JIULUI NR 142 AP 11,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
800,J'INFO TOURS,STR JULES MICHELET NR 1,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
801,EUROTRAVEL,STR LT AV IULIU TETRAT NR 23,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
802,WINGS INTERNATIONAL TRAVEL TURISM,STR LUTERANA NR 5 PARTER AP 27,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
803,BYE BYE TRAVEL,STR MAGURICEA NR 15,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
804,NORDIC TOURS,STR MARIA HAGI MOSCU NR 1 ET 1 A,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
805,GALAXY WORLD TRAVEL,STR MEXIC NR 2 BL 1 SC C PARTER,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
806,TRAVELWAY,STR MIHAI EMINESCU NR 19-21 ET 6,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
807,TRAVEL TIME D & R,STR MIRCEA VULCANESCU NR 45,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
808,BESTTOURISM.RO ONLINE,STR NICOLAE BALCESCU NR 36 SC A,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
809,GULLIVER TOURS,STR NICOLAE BALCESCU NR 36 SC A,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
810,HAPPY TOUR,STR POLONA NR 68 72 ET 4,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
811,CON-TUR,STR ROMA NR 31 AP 1 PARTER,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
812,TRAVEL MAMA,STR SPIRU HARET NR 13 DEMISOL,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
813,CLASSY MOMENTS,STR STANILESTI NR 30A,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
814,EXIMTUR,STR STIRBEI VODA NR 166 BL 20C,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
815,AGENTIA DE TURISM GOLD VOYAGE,STR STIRBEI VODA NR 96 PARTER,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
816,PERFECT TOUR,STR THEODOR AMAN NR 11,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
817,PITICESCU TOUR,STR VASILE SION NR 19 BL 15 SC 5,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
818,FINDINGRO,STR VICTOR EFTIMIU NR 4 6 SC B,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
819,LEVEL TOUR,STR VIRGILIU NR 12,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
820,TRAVEL TIPS,STR VIRGILIU NR 14 ET 1 AP 2,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
821,AGATA TRAVEL,STR VISARION NR 13,SECTOR 1,BUCURESTI,AGENTIE DE TURISM,0
822,HOTEL SAMAA,BD ION MIHALACHE NR 319C,SECTOR 1,BUCURESTI,HOTEL,3
823,HOTEL AMBASADOR,B-DUL MAGHERU NR 8-10,SECTOR 1,BUCURESTI,HOTEL,4
824,MARSHAL GARDEN,CALEA DOROBANTI NR 50B,SECTOR 1,BUCURESTI,HOTEL,2
825,HOTEL CAPITOL,CALEA VICTORIEI NR 29,SECTOR 1,BUCURESTI,HOTEL,2
826,LA CASA BUCURESTI,SOS CHITILIEI NR 37,SECTOR 1,BUCURESTI,HOTEL,2
827,HOTEL TRIANON,STR COBALCESCU GRIGORE NR 9,SECTOR 1,BUCURESTI,HOTEL,3
828,HOTEL ATHENEE PALACE HILTON,STR EPISCOPIEI NR 1-3,SECTOR 1,BUCURESTI,HOTEL,5
829,HOTEL CROWNE PLAZA,STR POLIGRAFIEI NR 1C,SECTOR 1,BUCURESTI,HOTEL,4
830,HOTEL ANDY,STR WITING NR 2,SECTOR 1,BUCURESTI,HOTEL,3
831,CASA VICTOR,STR EMANOIL PORUMBARU NR 44,SECTOR 1,BUCURESTI,VILA,3
832,ALLTUR,B-DUL CAROL I NR 50 BL 50,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
833,MONDIAL TOUR,B-DUL CAROL I NR 72,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
834,SF TRAVEL,B-DUL CAROL NR 57,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
835,ACCENT TRAVEL & EVENTS,B-DUL FERDINAND NR 74A,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
836,CHRISTIAN TOUR,B-DUL PIERRE DE COUBERTIN NR 3-5,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
837,TUI TRAVEL,B-DUL PIERRE DE COUBERTIN NR 3-5,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
838,TRIP TOUR,CALEA MOSILOR NR 158,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
839,FILADELFIA BUCURESTI 2,CALEA MOSILOR NR 205,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
840,OCEAN TRAVEL AND CRUISES,CALEA MOSILOR NR 231 BL 41A,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
841,IZZY BOOKING,INTR CHEFALULUI NR 11-13 PARTER BL B AP 97,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
842,BELDI TOURS,P-TA SF STEFAN NR 5 ET 1 AP 4 CA,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
843,ELEGANT TRAVEL,SOS COLENTINA NR 29 BL 49 AP 12,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
844,THEOREMA TRAVEL,SOS COLENTINA NR 66 BL 106 PARTE,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
845,TUI TRAVEL,SOS MIHAI BRAVU NR 107-119 PIATA,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
846,EUROPA TRAVEL,SOS MIHAI BRAVU NR 62A,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
847,JUMBO HOLIDAYS,SOS MIHAI BRAVU NR 62A CORP B,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
848,PARALELA 45 OBOR,SOS MIHAI BRAVU NR 7,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
849,DELTA BEST TURISM,SOS MIHAI BRAVU NR 90-96,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
850,REAL TURISM,SOS STEFAN CEL MARE NR 10,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
851,EXIMTUR,STR ARMAND CALINESCU NR 26,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
852,PARALELA 45,STR BASARABIA NR 69 BL A16A SC A,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
853,JUST TRAVEL,STR BODESTI NR 9 BL 29A SC B,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
854,PARALELA 45 TURISM,STR CEAIKOVSKI NR 7,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
855,FREE SPIRIT,STR DAMBOVICIOAREI NR 17,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
856,EXIMTUR,STR JEAN LOUIS CALDERON NR 1-5,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
857,KIWI TRAVEL,STR JOHANN STRAUSS NR 2A CL STRA,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
858,PARALELA 45 TURISM,STR LOGOFAT LUCA STROICI NR 10,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
859,TRAVELART,STR LUMINEI NR 8,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
860,TRAVEL DESTINATION,STR MATEI VOIEVOD NR 29 ET2 BIR,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
861,OPEN TRAVEL,STR PALEOLOGU NR 7 ET 1 AP 4,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
862,NOVA TRAVEL,STR REINVIERII NR 3 5 ET 2,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
863,TUI TRAVEL,STR REINVIERII NR 3-5 ET 1 CAMER,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
864,TRAVEL US CLUB,STR SINAIA NR 31 AP 1,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
865,AGERTUR,STR STEFAN CEL MARE NR 13 BL C 1,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
866,BONUS TRAVEL,STR THOMAS MASARYK NR 1 SC A,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
867,IVAS SERVICE SRL,STR VASILE CONTA NR 9-15 BL A SC,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
868,WECO TRAVEL,STR ZAMBILELOR NR 96,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
869,TUI TRAVEL,STR ZIDURI MOSI NR 23 VERANDA,SECTOR 2,BUCURESTI,AGENTIE DE TURISM,0
870,HOTEL ARMONIA,CALEA MOSILOR NR 112,SECTOR 2,BUCURESTI,HOTEL,4
871,HOTEL BANAT,PIATA C A ROSETTI NR 5,SECTOR 2,BUCURESTI,HOTEL,3
872,HOTEL EOS,SOS PANTELIMON NR 14,SECTOR 2,BUCURESTI,HOTEL,3
873,HOTEL TEMPO,STR ARMAND CALINESCU NR 19,SECTOR 2,BUCURESTI,HOTEL,3
874,HOTEL SIR COLENTINA,STR CREMENITA NR 2A,SECTOR 2,BUCURESTI,HOTEL,3
875,HEMINGWAY RESIDENCE,STR MANTULEASA NR 31,SECTOR 2,BUCURESTI,HOTEL,3
876,HOTEL CITADELLA,STR POPA LAZAR  NR 12,SECTOR 2,BUCURESTI,HOTEL,3
877,HOTEL SARROGLIA,STR VASILE LASCAR NR 59,SECTOR 2,BUCURESTI,HOTEL,2
878,MILLENNIUM TOUR,BD REGINA ELISABETA NR 3 PARTER,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
879,ESCAPE TOUR,B-DUL 1 DECEMBRIE 1918 NR 33A,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
880,LA PIOVRA AGENTIE DE TURISM,B-DUL CORNELIU COPOSU NR 4 BL 10,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
881,PERFECT JOURNEY,B-DUL DECEBAL NR 14,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
882,PONTIC TOUR,B-DUL ENERGETICIENILOR NR 9-11,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
883,TRAVEL DIRECT,B-DUL MIRCEA VODA NR 44 CAM 7 BL,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
884,VERA TRAVEL,B-DUL NICOLAE GRIGORESCU NR 31 B,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
885,CHRISTIAN TOUR,BUCURESTI MALL,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
886,TRAVELEDGE,CALEA CALARASI NR 249,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
887,VIDA TRAVEL,CALEA CALARASI NR 87,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
888,ANACAPRI TRAVEL,CALEA DUDESTI NR 115,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
889,GALAXY TOURS,CALEA VITAN NR 119 BL 21B SC 1,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
Nr crt,DENUMIRE UNITATE,ADRESA,LOCALITATE,JUDET,TIP UNITATE,STELE
890,TRAVEL IDEA,CALEA VITAN NR 236,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
891,NAVIGATOR,CALEA VITAN NR 23C,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
892,TUI TRAVEL,CALEA VITAN NR 55-59 BUCURESTI M,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
893,CHRISTIAN TOUR,GALERIILE TITAN,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
894,CHRISTIAN TOUR,SOS MIHAI BRAVU NR 39 BL P 15,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
895,SIND ROMANIA,STR ANIVERSARII NR 41,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
896,SIND TOUR TRANDING AGENTIE DE TURISM,STR ANIVERSARII NR 41 ET 1 MODUL,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
897,COMPLET TOUR,STR BRAILITA NR 9 BL D9B SC 1 PARTER AP 14,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
898,MARAN TRADE,STR DRISTORULUI NR 102,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
899,CETRAL TRAVEL,STR I C BRATIANU NR 34,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
900,NEFERTITI TRAVEL,STR INTRAREA BARSEI NR 2 BL M 12,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
901,100B,STR ION MINULESCU NR 70-74,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
902,HAISITU.RO,STR ION PILLAT NR 1 BL F5,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
903,TUI TRAVEL,STR LIVIU REBREANU NR 4 PARK LAK,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
904,KARPATEN OUTGOING,STR MATEI BASARAB NR 108 BL 74 S,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
905,EASY TRAVEL,STR MATEI BASARAB NR 88 BL L116,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
906,NEOTOUR,STR MIHAI BRAVU NR 2 BL 60B SC 2,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
907,ANDREI LUXURY TRAVEL,STR MIHAI BRAVU NR 432,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
908,LEASURE OPERATOR,STR SPLAIUL UNIRII NR 33 BL M 4 SC A AP 1,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
909,SUNNY TRAVEL,STR THEODOR PALLADY NR 3 BL XI S,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
910,PINKY TRAVEL,STR VULTURILOR NR 18-18A,SECTOR 3,BUCURESTI,AGENTIE DE TURISM,0
911,INTER BUSINESS BUCHAREST,B-DUL 1 DECEMBRIE 1918 NR 56B,SECTOR 3,BUCURESTI,HOTEL,4
912,HOTEL TINY CLUB,STR CAUZASI NR 27,SECTOR 3,BUCURESTI,HOTEL,3
913,HOTEL DACIA,STR MATEI BASARAB NR 19,SECTOR 3,BUCURESTI,HOTEL,3
914,TULIP INN BUCHAREST CITY,STR NERVA TRAIAN NR 3A BL M102,SECTOR 3,BUCURESTI,HOTEL,4
